Periode,Quartal,NPL_Gross (%),CAR/KPMM (%),CET-1(%),NII_Midrupiah,Fee_based_Income,CKPN_Midrupiah
2020,Q4,1.7,26.89,16.9,"54,161,270","21,004,028","-11,628,076"
2021,Q1,1.84,25.71,15.72,"14,050,660","5,155,183","-3,253,941"
2021,Q2,2.39,26.42,16.43,"28,123,643","10,604,437","-6,546,228"
2021,Q3,2.36,27.37,17.38,"41,917,674","16,069,178","-7,648,966"
2021,Q4,2.15,26.85,16.86,"56,135,575","22,337,794","-9,323,995"
2022,Q1,2.3,25.12,15.13,"14,421,272","6,131,991","-2,818,055"
2022,Q2,2.2,25.98,15.99,"29,667,452","11,534,206","-3,726,935"
2022,Q3,2.15,26.52,16.53,"45,956,234","17,271,540","-3,918,002"
2022,Q4,1.7,26.84,16.85,"63,989,509","23,486,808","-4,526,619"
2023,Q1,1.75,28.96,18.97,"18,482,049","6,449,086","-1,460,234"
2023,Q2,1.88,29.47,19.48,"36,982,770","12,557,776","-1,881,893"
2023,Q3,2.03,29.54,19.55,"55,715,333","18,863,099","-2,291,566"
2023,Q4,1.7,29.4,19.41,"75,128,822","24,816,551","-2,263,049"
2024,Q1,1.88,26.36,16.36,"19,822,690","6,590,093","-1,024,829"
2024,Q2,2.13,27.67,17.68,"39,895,343","12,777,832","-1,405,716"
2024,Q3,2.05,29.15,19.16,"60,932,771","19,604,033","-2,367,089"
2024,Q4,1.73,29.14,19.15,"82,264,164","26,042,377","-2,034,453"
2025,Q1,1.98,27.35,17.36,"21,118,560","7,005,767","-1,031,032"
2025,Q2,2.1,29.11,19.12,"42,584,951","14,129,294","-2,011,459"
